,Cocktail Name,Bartender,Bar/Company,Location,Ingredients,Garnish,Glassware,Preparation,Notes,Ingredients_list,alcohol_type,full_text,text2vec,cluster,alcohol_genre,cocktail_genre,top_5_similarity_scores,top_5_similar_cocktails,similar_cocktails_names
0,Flor de Amaras,Kelly McCarthy,,Boston,"1.5 oz Mezcal, 1 oz Hibiscus Simple Syrup*, .5 oz Lime Juice,  top Soda Water",Marigold Petals,,"*Hibiscus Simple Syrup:
1:1 w/ a cup of dried hibiscus steeping for 30-40 min",,"['1.5 oz Mezcal', '1 oz Hibiscus Simple Syrup*', '.5 oz Lime Juice', 'top Soda Water']",['mezcal'],"Kelly McCarthy Boston  oz Mezcal, oz Hibiscus Simple Syrup*,  oz Lime Juice, top Soda Water Marigold Petals *Hibiscus Simple Syrup: : w/ a cup of dried hibiscus steeping for - min","[0.7514726519584656, -0.39188048243522644, -0.23886393010616302, 0.3494682312011719, -0.10171231627464294, -0.34118542075157166, 0.08103904873132706, 0.16385309398174286, -0.40678468346595764, 0.043620817363262177, 0.24069833755493164, -0.07026661932468414, 0.00238439766690135, -0.6330569982528687, -0.3163175582885742, 0.7605341672897339, -0.29056257009506226, 0.05924997478723526, -0.7595996856689453, 0.6087373495101929, 0.40821707248687744, 0.39700406789779663, 0.9051530361175537, -0.6470612287521362, 0.05343504622578621, 0.10732316225767136, -0.3513285517692566, -0.25412726402282715, -0.004526166711002588, -0.2194090485572815, 0.09254377335309982, 0.21824946999549866, -0.2190639078617096, -0.23451320827007294, -0.26562750339508057, 0.25153934955596924, 0.13049893081188202, 0.33760884404182434, 0.35390204191207886, 0.15490111708641052, -0.3812914490699768, -0.6098693609237671, 0.5241445899009705, -0.028939124196767807, -0.05290645360946655, -0.0885014459490776, -0.5256383419036865, -0.531407356262207, -0.3585876226425171, -0.02124772220849991, -0.045447077602148056, 0.15757621824741364, -0.153727725148201, 0.2824532687664032, 0.1633996218442917, -0.04432538524270058, 0.2530834376811981, -0.6968064308166504, -0.4920883774757385, 0.094803087413311, -0.22259876132011414, -0.22843562066555023, -0.38559573888778687, 0.048496659845113754]",6,Vodka Whisky,Sugar Apple,"[1.0000000000000002, 0.8484904483865882, 0.8237852072476165, 0.8003442295227258, 0.7979458769994515, 0.7936527736370265]","[38, 135, 626, 669, 510]","['La Batida Loca', 'See ya Amaro!', 'Pink Mojito', ""The King's Ginger Truffles "", 'Hippi Hill']"
1,The Happy Place,Elizabeth Montana,Forgery & Verso,San Francisco,"2 oz Junipero Gin, .75 oz House-made Cranberry Syrup*, .5 oz Lemon Juice, .5 oz Cranberry Juice, .25 oz Lillet Blanc, 4 dash Forgery Earth Day Bitters,  mist Laphroaig","Dehydrated Lemon Wheel, Sprig of Rosemary",,"*House-made Cranberry syrup: 
-- 2 cups Fresh Cranberries
-- 1 cup Sugar
-- 1 cup Water
-- 2 Bay Leaves
-- .25 cup Pink Peppercorns
-- Half Serrano Chile
-- 4 Sprigs Fresh Rosemary

Add all ingredients to a pot and heat thoroughly. Simmer on low until cranberries cook down for 25 minutes. Strain and let cool.",Junipero Gin 20th Anniversary Signature Cocktail,"['2 oz Junipero Gin', '.75 oz House-made Cranberry Syrup*', '.5 oz Lemon Juice', '.5 oz Cranberry Juice', '.25 oz Lillet Blanc', '4 dash Forgery Earth Day Bitters', 'mist Laphroaig']","['gin', 'blanc']","Elizabeth Montana Forgery & Verso San Francisco oz Junipero Gin,  oz House-made Cranberry Syrup*,  oz Lemon Juice,  oz Cranberry Juice,  oz Lillet Blanc, dash Forgery Earth Day Bitters, mist Laphroaig Dehydrated Lemon Wheel, Sprig of Rosemary *House-made Cranberry syrup:  cups Fresh Cranberries cup Sugar cup Water Bay Leaves  cup Pink Peppercorns Half Serrano Chile Sprigs Fresh Rosemary Add all ingredients to a pot and heat thoroughly Simmer on low until cranberries cook down for minutes Strain and let cool Junipero Gin th Anniversary Signature Cocktail","[1.474276065826416, -1.0604805946350098, -0.21955403685569763, 0.22939863801002502, -0.2774471640586853, -0.9250400066375732, 0.28213271498680115, 0.1734517514705658, -0.45676833391189575, 0.6750671863555908, -0.20150162279605865, -0.19882157444953918, -0.31060928106307983, -0.7636545300483704, 0.19937773048877716, 1.1599740982055664, 0.04922281950712204, -0.4691272974014282, -0.6696692705154419, 0.3264627754688263, 0.9553348422050476, 0.5552922487258911, 1.3209972381591797, -1.0105843544006348, -0.5399768948554993, 0.6669228672981262, 0.3632280230522156, -0.09930168092250824, -0.10983438789844513, 0.48848068714141846, 0.7154097557067871, -0.03999772667884827, 0.5045083165168762, 0.6718236804008484, -1.1935521364212036, 0.3026271462440491, 1.1115108728408813, 0.5927198529243469, -0.03646339848637581, -0.6635705232620239, -0.410938560962677, -0.6652736067771912, 0.08609481900930405, -0.21070635318756104, 0.7343019843101501, -0.291006863117218, -0.33527281880378723, 0.18059837818145752, 0.6852611899375916, 0.5492141246795654, -0.5044645071029663, 0.24698929488658905, -0.40370994806289673, 0.4307108223438263, -0.4730882942676544, -0.0008707952219992876, 1.1005744934082031, -0.2235763520002365, -0.5483818054199219, -0.13019534945487976, -0.11941993236541748, 0.29969522356987, -1.1388574838638306, 0.025620106607675552]",4,Gin Bianco,Water cinnamon,"[1.0000000000000002, 0.7409739683229254, 0.7354970363580641, 0.7207064775356188, 0.7058700060618281, 0.6851234573512573]","[276, 235, 138, 438, 401]","['Pink Punch', ""The King's Cranberry Sauce"", 'The Italian Diplomat', '#106 Cocktail', 'Northern Hemisphere (Nikka 12 Edition)']"
2,Bon Voyage Pisco Punch,Jon Morales,,San Francisco,"1500 ml BarSol Selecto Italia Pisco, 750 ml Lemon Juice, 750 ml Pineapple Gomme Syrup*, .5 oz Fee Bros Lemon Bitters, 1 float Old Vine Zin",,Punch Bowl,"*Pineapple Gomme: 
Mix equal parts (1.5 cups) gum arabic with water over high heat until it all mixes and then let cool for a bit. Then you're gonna make a sugar syrup with 2 parts sugar, 1 part water (4 cups water, 2 cups white granulated sugar) in the same manner over high heat until it mixes, and then add the gum syrup to the mix until everything dissolves and what you're left with is a thick gummy syrup that resembles a whole lot of baby batter. Then cut up 1.5 cups of pineapple chunks, put in mason jar, and pour the gum syrup over it and let it sit in the refrigerator over night. A few hours would work also if you don't have that much time. However, the more time, the more pineapple infusion takes place. When it's ready, strain into another mason jar or bottle, and it's ready to go.",,"['1500 ml BarSol Selecto Italia Pisco', '750 ml Lemon Juice', '750 ml Pineapple Gomme Syrup*', '.5 oz Fee Bros Lemon Bitters', '1 float Old Vine Zin']",['pisco'],"Jon Morales San Francisco ml BarSol Selecto Italia Pisco, ml Lemon Juice, ml Pineapple Gomme Syrup*,  oz Fee Bros Lemon Bitters, float Old Vine Zin Punch Bowl *Pineapple Gomme: Mix equal parts ( cups) gum arabic with water over high heat until it all mixes and then let cool for a bit Then you're gonna make a sugar syrup with parts sugar, part water ( cups water, cups white granulated sugar) in the same manner over high heat until it mixes, and then add the gum syrup to the mix until everything dissolves and what you're left with is a thick gummy syrup that resembles a whole lot of baby batter Then cut up  cups of pineapple chunks, put in mason jar, and pour the gum syrup over it and let it sit in the refrigerator over night A few hours would work also if you don't have that much time However, the more time, the more pineapple infusion takes place When it's ready, strain into another mason jar or bottle, and it's ready to go ","[1.818919062614441, -1.4136240482330322, -0.7159079909324646, 1.673984408378601, -0.6532571911811829, -0.02939740940928459, -1.1969796419143677, 0.5589697360992432, -1.1693792343139648, -1.823054552078247, -1.032993197441101, -0.3986348509788513, -1.1195241212844849, -2.662076234817505, -0.3490328788757324, 0.6663326025009155, -0.307844877243042, -1.3650981187820435, -1.6207174062728882, 0.6378452181816101, 1.3898670673370361, 0.259430855512619, 0.7415487766265869, -1.4044945240020752, 0.7222853302955627, -0.14180251955986023, 0.06376315653324127, -1.478835105895996, -0.8961313962936401, 1.9092596769332886, -0.9715538024902344, 1.2414685487747192, 0.030760416761040688, 0.3176991045475006, -0.2322014421224594, 1.382798433303833, 0.8819002509117126, 1.0703368186950684, -0.7473863959312439, -0.4603808522224426, 0.22567880153656006, -0.854892373085022, 1.4607453346252441, 0.07163359969854355, 0.7550182938575745, -0.14856764674186707, -0.8729062080383301, -0.6060214638710022, -0.6146230101585388, -1.1743122339248657, 0.9524117112159729, -0.24953700602054596, 0.015103778801858425, 0.4327009320259094, -0.1517486572265625, -0.8770772218704224, 0.45083165168762207, -0.25502148270606995, -2.6294450759887695, 0.24879030883312225, 0.40996745228767395, -1.4035414457321167, -0.037615709006786346, 0.4573761224746704]",4,Gin Bianco,Water cinnamon,"[0.9999999999999998, 0.7483382209893503, 0.6989498822955748, 0.6887697447064898, 0.675872047621981, 0.6733605955709854]","[494, 385, 282, 465, 54]","['Cream of the Crop', 'Wooster 53', 'Clover Holiday Cocktail', 'Pistachio Follies', 'Rx Hot Toddy']"
3,Still Life of a Pineapple,Daniel Braganca,Backbar,Somerville,"1.5 oz BarSol Primero Quebranta Pisco, .75 oz Dry Vermouth, .5 oz St. Germain, .25 oz Pineapple Syrup*, 1 bsp Vieux Pontarlier Absinthe Francaise Superieure",,,"*Pineapple Syrup:
<em>Equal parts pineapple blended with water and sugar and strained</em>",,"['1.5 oz BarSol Primero Quebranta Pisco', '.75 oz Dry Vermouth', '.5 oz St. Germain', '.25 oz Pineapple Syrup*', '1 bsp Vieux Pontarlier Absinthe Francaise Superieure']","['pisco', 'vermouth']","Daniel Braganca Backbar Somerville  oz BarSol Primero Quebranta Pisco,  oz Dry Vermouth,  oz St Germain,  oz Pineapple Syrup*, bsp Vieux Pontarlier Absinthe Francaise Superieure *Pineapple Syrup: <em>Equal parts pineapple blended with water and sugar and strained</em>","[0.763603687286377, -0.4321478605270386, -0.13578231632709503, 0.5077561140060425, 0.25232502818107605, -0.3628774881362915, 0.09953636676073074, 0.3655502498149872, -0.8594997525215149, 0.1586991548538208, 0.36130666732788086, -0.3993528187274933, -0.49680498242378235, -1.0418033599853516, -0.14084726572036743, 0.9559500813484192, 0.15132181346416473, -0.2832934558391571, -0.3836979568004608, 0.6153661608695984, 0.37151482701301575, 0.4848999083042145, 0.32011494040489197, -0.3798710107803345, -0.20593398809432983, 0.3112894296646118, -0.15100699663162231, -0.20236238837242126, -0.06290384382009506, 0.21847611665725708, 0.2966832220554352, 0.12057535350322723, -0.2703304886817932, -0.00984934251755476, -0.6039190888404846, 0.1679985523223877, 0.25270411372184753, 0.11741233617067337, 0.23423263430595398, -0.07636195421218872, -0.12858133018016815, -0.5235947966575623, 0.48549121618270874, -0.0981728732585907, -0.012251803651452065, -0.18616147339344025, -0.231593057513237, -0.5139679312705994, 0.1982382982969284, 0.28504493832588196, 0.22470185160636902, 0.1746794730424881, 0.3215734362602234, -0.0015979058807715774, 0.14041677117347717, -0.04810686409473419, 0.4736439883708954, -0.6698560118675232, -0.6745433211326599, -0.027560096234083176, 0.080439493060112, -0.3833259046077728, -0.3670760691165924, -0.02272729016840458]",3,Liqueur Luxardo,Dash Luxardo,"[1.0000000000000004, 0.8521059420634144, 0.8520389550039469, 0.8512376526711846, 0.8462832475028672, 0.8454585040017953]","[509, 515, 145, 510, 495]","['Monet', ""Where's the Orgeat?"", 'West Coast Vesper', 'Hippi Hill', 'Hemingway Daiquiri']"
4,The Bittered Valley,Nik Virrey,,Seattle,"1.25 oz Luxardo Maraschino Liqueur, 4 drops Acid phosphate, 2 oz BarSol Primero Quebranta Pisco, .75 oz Luxardo Amaro Abano, .25 oz Luxardo Fernet, 3 dash Scrappy's Aromatic Bitters",,,"1st glass ingredients:
Luxardo Maraschino, Acid Phosphate

2nd glass ingredients:
BarSol Quebranta Pisco, Luxardo Amaro Abano, Luxardo Fernet, Scrappy's Aromatic Bitters",,"['1.25 oz Luxardo Maraschino Liqueur', '4 drops Acid phosphate', '2 oz BarSol Primero Quebranta Pisco', '.75 oz Luxardo Amaro Abano', '.25 oz Luxardo Fernet', ""3 dash Scrappy's Aromatic Bitters""]","['liqueur', 'luxardo', 'pisco', 'amaro', 'luxardo', 'fernet', 'luxardo']","Nik Virrey Seattle  oz Luxardo Maraschino Liqueur, drops Acid phosphate, oz BarSol Primero Quebranta Pisco,  oz Luxardo Amaro Abano,  oz Luxardo Fernet, dash Scrappy's Aromatic Bitters st glass ingredients: Luxardo Maraschino, Acid Phosphate nd glass ingredients: BarSol Quebranta Pisco, Luxardo Amaro Abano, Luxardo Fernet, Scrappy's Aromatic Bitters","[0.77068030834198, -0.38040676712989807, -0.09921832382678986, 0.4279460310935974, 0.08483497053384781, -0.3139502704143524, 0.15886451303958893, -0.3701419234275818, -1.143194556236267, 0.37701401114463806, 0.6048296093940735, 0.011734363622963428, -0.4592910706996918, -0.730263888835907, -0.004788353107869625, 0.9407134056091309, 0.7282833456993103, 0.07000827044248581, -0.06790684908628464, 1.1538385152816772, 0.5404918193817139, 1.005571722984314, 0.046661533415317535, -0.4903523623943329, -0.272246778011322, 0.5104911923408508, -0.18083764612674713, 0.11319001019001007, -0.17081426084041595, -0.37472793459892273, 0.09888923913240433, 0.12393300980329514, -0.3899647295475006, -0.9205440878868103, 0.1343080848455429, 0.3291030824184418, -0.29472869634628296, -0.08727594465017319, 0.35797983407974243, -0.3404712378978729, -0.510059654712677, -0.7132399678230286, 0.06862076371908188, -0.2534906268119812, 0.12329058349132538, 0.18399932980537415, -0.058210715651512146, -0.4335387945175171, 0.17438194155693054, 0.5770381689071655, 0.2203071564435959, 0.6965357661247253, 0.6077139973640442, -0.8170248866081238, 0.5476000308990479, 0.6497468948364258, 0.01361877378076315, -0.3915960490703583, 0.22525669634342194, 0.014944424852728844, 0.12373100966215134, -0.321890264749527, -0.045359089970588684, 0.232270285487175]",1,Luxardo Gin,Bitters Garnish,"[1.0, 0.8469556241914483, 0.846323442117871, 0.8237815057964473, 0.8219071274182489, 0.8206964952953805]","[120, 601, 569, 590, 93]","['Willow', 'Cherry Blossom Martini', 'Cherry Bark Martinez', 'The Pink Aperitivo', 'La Chiara']"
5,OH Snap!,Kevin Diedrich,Pacific Cocktail Haven,San Francisco,"1 oz Junipero Gin, 1 oz House-made Simple Syrup*, 1 oz Manzanilla Sherry, .75 oz Lemon Juice, 2 dash Absinthe, 6-8  Sugar Snap Peas,  top Tonic",,Collins,"Add 6-8 sugar snap peas to cocktail shaker. Lightly muddle the peas. Add all other ingredients except for the tonic. Shake and double strain into a collins glass. Top with tonic. 

*House-made Simple Syrup: 
-- 1 cup Sugar
-- 1 cup Water

Add equal parts sugar and water into a small saucepan, bring to a boil; simmer until the sugar is dissolved, approximately 3 minutes. Remove from heat, let cool to room temperature and transfer to a clean glass jar. Cover and keep refrigerated for up to 2 weeks.",Junipero Gin 20th Anniversary Signature Cocktail,"['1 oz Junipero Gin', '1 oz House-made Simple Syrup*', '1 oz Manzanilla Sherry', '.75 oz Lemon Juice', '2 dash Absinthe', '6-8  Sugar Snap Peas', 'top Tonic']",['gin'],"Kevin Diedrich Pacific Cocktail Haven San Francisco oz Junipero Gin, oz House-made Simple Syrup*, oz Manzanilla Sherry,  oz Lemon Juice, dash Absinthe, - Sugar Snap Peas, top Tonic Collins Add - sugar snap peas to cocktail shaker Lightly muddle the peas Add all other ingredients except for the tonic Shake and double strain into a collins glass Top with tonic  *House-made Simple Syrup:  cup Sugar cup Water Add equal parts sugar and water into a small saucepan, bring to a boil; simmer until the sugar is dissolved, approximately minutes Remove from heat, let cool to room temperature and transfer to a clean glass jar Cover and keep refrigerated for up to weeks Junipero Gin th Anniversary Signature Cocktail","[0.9603739380836487, -1.035778522491455, -0.5500392317771912, 0.19873151183128357, -0.14823484420776367, -0.007686288561671972, -0.04442208632826805, 0.2015713006258011, 0.12745401263237, 0.8024389147758484, -0.04252936318516731, -0.15375421941280365, -0.912519097328186, -1.0386645793914795, -0.37413445115089417, 1.2055476903915405, -0.41814985871315, -0.7168022990226746, -1.0876152515411377, 0.24188336730003357, 0.6113306283950806, 0.3148249685764313, 1.0127500295639038, -0.516605019569397, -0.6652424335479736, 0.3230709731578827, -0.6182805895805359, -0.6681687235832214, -0.6857739090919495, 0.3408017158508301, -0.18367697298526764, -0.07548590749502182, -0.219034805893898, 0.2242458313703537, -0.43127602338790894, 0.20799142122268677, 0.5528321266174316, 0.8909949660301208, 0.5993087887763977, -0.4557645916938782, -0.27296045422554016, -1.1592011451721191, -0.11567120999097824, -0.3057686686515808, -0.3356570899486542, 0.0962357148528099, -1.3104294538497925, -0.18697960674762726, -0.5227501392364502, -0.26567530632019043, -0.2628397047519684, 0.29939597845077515, 0.2120787650346756, 0.6845808625221252, 0.14959944784641266, 0.37690696120262146, 0.5235178470611572, -1.2720898389816284, -1.36271333694458, 0.2732757031917572, -0.22561058402061462, -1.0288501977920532, 0.20602841675281525, -0.16216552257537842]",4,Gin Bianco,Water cinnamon,"[0.9999999999999996, 0.802566155058779, 0.7822040223078539, 0.7809974905496588, 0.7805482335556622, 0.7511877221425454]","[385, 405, 35, 282, 235]","['Wooster 53', 'Cock-tail', 'San Francisco Strong (Skrong)', 'Clover Holiday Cocktail', ""The King's Cranberry Sauce""]"
6,Wabash Avenue Sour,Phillip Ricafort,American Oak,Alameda,"2 oz Bourbon, 1 oz Fresh Lemon Juice, .5 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Small Hand Foods Pineapple Gum Syrup, .5 oz Egg White",Rhubarb Bitters,Coupe,"Add all ingredients and dry-shake (without ice), then add ice, and shake again. Strain into coupe and garnish with rhubarb bitters.",,"['2 oz Bourbon', '1 oz Fresh Lemon Juice', '.5 oz Luxardo Sangue Morlacco Cherry Liqueur', '.5 oz Small Hand Foods Pineapple Gum Syrup', '.5 oz Egg White']","['bourbon', 'liqueur', 'luxardo']","Phillip Ricafort American Oak Alameda oz Bourbon, oz Fresh Lemon Juice,  oz Luxardo Sangue Morlacco Cherry Liqueur,  oz Small Hand Foods Pineapple Gum Syrup,  oz Egg White Rhubarb Bitters Coupe Add all ingredients and dry-shake (without ice), then add ice, and shake again Strain into coupe and garnish with rhubarb bitters ","[0.4731394350528717, -0.4903595745563507, 0.08981897681951523, 0.20316942036151886, 0.19028061628341675, -0.4037362039089203, 0.059717461466789246, 0.374844491481781, -1.0210545063018799, 0.33181142807006836, 0.6490675806999207, -0.398228257894516, 0.09105534106492996, -0.7131967544555664, -0.018490519374608994, 0.752022922039032, 0.41325926780700684, -0.2980264127254486, -0.32025763392448425, 0.7743623852729797, 0.2997305691242218, 1.0165655612945557, 0.3581399619579315, -0.18044894933700562, -0.17481255531311035, 0.23060175776481628, -0.09016145765781403, 0.38165417313575745, 0.01441103219985962, -0.12678316235542297, 0.23664894700050354, 0.20051370561122894, -0.2642562985420227, -0.19749654829502106, -0.5271926522254944, 0.2977232336997986, -0.09594932198524475, -0.41653159260749817, 0.2294633388519287, -0.36744335293769836, -0.629599928855896, -0.5176510214805603, -0.17564326524734497, -0.3293514847755432, -0.029830684885382652, -0.4800953269004822, -0.08963378518819809, -0.3178265690803528, 0.34672367572784424, 0.21621745824813843, 0.16374830901622772, 0.2371920943260193, 0.5942218899726868, 0.2776137888431549, -0.050767067819833755, 0.06767604500055313, 0.3441288471221924, -0.1841745525598526, -0.18126742541790009, 0.11642514169216156, -0.021753637120127678, -0.13730105757713318, -0.13196493685245514, 0.22296546399593353]",3,Liqueur Luxardo,Dash Luxardo,"[1.0000000000000004, 0.8754968521716295, 0.8662060731348336, 0.862708673698833, 0.8566207496482857, 0.8473185145098456]","[408, 579, 515, 521, 599]","['Oaxacan Martini', 'Alaska Cocktail', ""Where's the Orgeat?"", 'Drink Lab #16', 'Improved Calvados Cocktail']"
7,IPA Mule,Jon Ruiz,AMK Kitchen Bar,Chicago,"1.5 oz Hophead Vodka, .5 oz Ginger Liqueur, .75 oz Lime Juice, .5 oz Pure Cane Simple Syrup, 2 count Deschutes Fresh Squeezed IPA (from tap)",Mint,Tin Cup,"Add all ingredients except beer into shaker tin, shake vigorously for 10 seconds. Add beer in shaker tin then double strain into tin cup. Add mint for garish.",,"['1.5 oz Hophead Vodka', '.5 oz Ginger Liqueur', '.75 oz Lime Juice', '.5 oz Pure Cane Simple Syrup', '2 count Deschutes Fresh Squeezed IPA (from tap)']","['vodka', 'gin', 'liqueur']","Jon Ruiz AMK Kitchen Bar Chicago  oz Hophead Vodka,  oz Ginger Liqueur,  oz Lime Juice,  oz Pure Cane Simple Syrup, count Deschutes Fresh Squeezed IPA (from tap) Mint Tin Cup Add all ingredients except beer into shaker tin, shake vigorously for seconds Add beer in shaker tin then double strain into tin cup Add mint for garish ","[0.4752185344696045, -0.312294602394104, 0.34453704953193665, -0.19269295036792755, -0.16331955790519714, -0.20604634284973145, 0.28803518414497375, 0.2257583886384964, -0.34642404317855835, -0.24199792742729187, -0.2188604325056076, -0.11188088357448578, 0.5261076092720032, -0.5677418112754822, 0.2895834147930145, 1.3383923768997192, 0.10238880664110184, -0.39852842688560486, -0.4618561267852783, 0.9732070565223694, 0.5283800363540649, 0.20075185596942902, 1.3011279106140137, -1.017207145690918, 0.38571619987487793, 0.33257126808166504, -0.23104509711265564, -0.42348167300224304, 0.2962138056755066, -0.875182032585144, 0.2464848905801773, 0.10140370577573776, -0.6078134179115295, -0.6289946436882019, 0.10175775736570358, 0.3798156678676605, 0.43372026085853577, -0.14302299916744232, 0.024204760789871216, -0.0851043164730072, -0.462596595287323, 0.20217014849185944, 0.5151262283325195, -0.409834086894989, -0.16461484134197235, 0.21460683643817902, -0.16630735993385315, -0.9819971919059753, -0.045712072402238846, -0.03977647051215172, -0.5816256999969482, -0.10613119602203369, 0.2609218955039978, 0.5143486261367798, 0.06838120520114899, -0.1175001710653305, 0.6200401186943054, -0.45207178592681885, -0.5646905303001404, -0.22276881337165833, -0.3289679288864136, -0.281591534614563, -0.43250733613967896, 0.1708800196647644]",6,Vodka Whisky,Sugar Apple,"[0.9999999999999994, 0.7606743585726666, 0.744933618907409, 0.7431866587736671, 0.725566201153641, 0.7193329837912162]","[9, 456, 13, 304, 550]","[""King's Snap the Chocolate Out of You"", 'Eat, Drink and Be Cherry', 'Mille Miglia', 'Mint Garden', 'Smashing Great Pumpkins']"
8,Ritz Cocktail,Dale DeGroff,,,".75 oz Cognac, .5 oz Cointreau, .25 oz Luxardo Maraschino Liqueur, .25 oz Fresh Lemon Juice, 3 oz Champagne",Orange Peel,Martini,"Add all ingredients except the champagne to a mixing glass and fill with ice. Stir, and strain into a martini glass. Fill with champagne and garnish with a flamed orange peel.",,"['.75 oz Cognac', '.5 oz Cointreau', '.25 oz Luxardo Maraschino Liqueur', '.25 oz Fresh Lemon Juice', '3 oz Champagne']","['liqueur', 'luxardo', 'champagne']","Dale DeGroff  oz Cognac,  oz Cointreau,  oz Luxardo Maraschino Liqueur,  oz Fresh Lemon Juice, oz Champagne Orange Peel Martini Add all ingredients except the champagne to a mixing glass and fill with ice Stir, and strain into a martini glass Fill with champagne and garnish with a flamed orange peel ","[0.39116013050079346, -0.4705175757408142, -0.10309639573097229, 0.4175601005554199, 0.34962862730026245, -0.7474320530891418, 0.016896672546863556, 0.10732917487621307, -1.0182744264602661, -0.10313685983419418, 0.357942134141922, -0.7871736884117126, -0.08911965042352676, -0.5056085586547852, 0.28964805603027344, 0.44128525257110596, 0.07179495692253113, 0.22535869479179382, -0.3372291624546051, 0.8405770659446716, 0.01258248183876276, 0.6004307866096497, 0.6327977180480957, -0.24482764303684235, -0.14189709722995758, 0.08662046492099762, -0.3844689428806305, 0.10461243242025375, -0.18205569684505463, 0.03624146431684494, -0.25414255261421204, -0.00883734691888094, -0.3735694885253906, -0.17384523153305054, 0.06137944757938385, -0.22059276700019836, -0.07642237097024918, 0.08951584249734879, 0.3772153854370117, -0.034782662987709045, -0.17457252740859985, -0.24867680668830872, -0.1829662024974823, -0.2908872365951538, -0.43450728058815, -0.23990218341350555, -0.4263027012348175, -0.5432282090187073, 0.1714348942041397, 0.12060664594173431, 0.049943894147872925, 0.03048829734325409, 0.7274096608161926, 0.37050408124923706, 0.5328949093818665, 0.2883044481277466, -0.22396297752857208, -0.8438634276390076, -0.3409178853034973, 0.09739279747009277, -0.37227654457092285, -0.22292129695415497, 0.19379067420959473, 0.16174274682998657]",1,Luxardo Gin,Bitters Garnish,"[1.0000000000000004, 0.8844987652121585, 0.8762129215866051, 0.8580192698176256, 0.8551149818909426, 0.8346970193784758]","[436, 30, 214, 495, 108]","['Flamenco', 'Martinez Orange', 'Division Bell', 'Hemingway Daiquiri', 'Round Pond Aperitif']"
9,King's Snap the Chocolate Out of You,Ian Julian,,New Orleans,"1 oz King's Ginger Liqueur, 1.5 oz Homemade milk chocolate, .75 oz Hazelnut Cinnamon syrup,  oz Marshmallow whip cream,  oz Ginger snaps",Ginger snap crumbles,Rocks Glass,Add all ingredients except the whip cream and ginger snap. Shake and double into a rocks glass with no ice. Top with marshmallow whip cream. Garnish with Ginger snap crumbles.,,"[""1 oz King's Ginger Liqueur"", '1.5 oz Homemade milk chocolate', '.75 oz Hazelnut Cinnamon syrup', 'oz Marshmallow whip cream', 'oz Ginger snaps']","['gin', 'liqueur', 'gin']","Ian Julian New Orleans oz King's Ginger Liqueur,  oz Homemade milk chocolate,  oz Hazelnut Cinnamon syrup, oz Marshmallow whip cream, oz Ginger snaps Ginger snap crumbles Rocks Glass Add all ingredients except the whip cream and ginger snap Shake and double into a rocks glass with no ice Top with marshmallow whip cream Garnish with Ginger snap crumbles ","[1.0827492475509644, -0.2776222229003906, 0.34620970487594604, -0.10789185017347336, 0.046619437634944916, -0.6836466193199158, 0.2704251706600189, 0.4967150092124939, -0.5526840090751648, -0.3920583128929138, 0.2223970890045166, -0.024201061576604843, -0.028133153915405273, -0.6686047315597534, 0.45247840881347656, 1.34800124168396, -0.05609680712223053, -0.3219412565231323, -0.5201103091239929, 0.5976114273071289, 0.5154983997344971, -0.1361222118139267, 0.705359697341919, -1.2673847675323486, 0.2976207137107849, -0.07352200150489807, -0.4044053256511688, -0.3228759467601776, 0.8950669169425964, 0.0339679978787899, 0.3491576015949249, 0.5467370748519897, -0.17176997661590576, -0.26137086749076843, 0.8486834168434143, 0.33657005429267883, -0.23429672420024872, 0.5352945923805237, 0.41543489694595337, 0.1078156903386116, -0.6024341583251953, 0.45834895968437195, 0.2818969488143921, -0.9989954829216003, 0.06068408116698265, 0.04348007217049599, -0.23125340044498444, -0.9173467755317688, -0.17784389853477478, 0.06915312260389328, -0.19676411151885986, -0.04724114015698433, 0.2891545295715332, 0.4732566773891449, 0.6441475749015808, 0.4698443114757538, 0.7865884900093079, -1.1913870573043823, -0.43971455097198486, -0.20435655117034912, -0.1900702267885208, -0.22875283658504486, -0.7014101147651672, 0.5224959254264832]",6,Vodka Whisky,Sugar Apple,"[1.0, 0.8852075569278167, 0.8672296151711961, 0.8025203863746119, 0.8023482512389492, 0.7919814694190638]","[301, 300, 56, 346, 53]","['Spice and Stormy', 'Ginger Pigeon', 'Chilcano', 'Rio De Janeiro Mule', 'The Royal Buck']"
